sensor,datetime,temperature,humidity
DHT11,2022/07/09 9:31,29,58
DHT11,2022/07/09 9:41,29,57
DHT11,2022/07/09 9:51,29,57
DHT11,2022/07/09 10:01,29,57
DHT11,2022/07/09 10:11,29,57
DHT11,2022/07/09 10:21,29,57
DHT11,2022/07/09 10:31,29,58
DHT11,2022/07/09 10:41,29,58
DHT11,2022/07/09 10:51,29,58
DHT11,2022/07/09 11:01,29,57
DHT11,2022/07/09 11:11,29,58
DHT11,2022/07/09 11:21,29,58
DHT11,2022/07/09 11:31,29,58
DHT11,2022/07/09 11:41,30,57
DHT11,2022/07/09 11:51,30,57
DHT11,2022/07/09 12:01,30,57
DHT11,2022/07/09 12:11,30,56
DHT11,2022/07/09 12:21,30,56
DHT11,2022/07/09 12:31,30,56
DHT11,2022/07/09 12:41,30,56
DHT11,2022/07/09 12:51,30,56
DHT11,2022/07/09 13:01,30,55
DHT11,2022/07/09 13:11,30,55
DHT11,2022/07/09 13:21,30,54
DHT11,2022/07/09 13:31,30,54
DHT11,2022/07/09 13:41,30,55
DHT11,2022/07/09 13:51,30,55
DHT11,2022/07/09 14:01,30,55
DHT11,2022/07/09 14:11,30,55
DHT11,2022/07/09 14:21,30,55
DHT11,2022/07/09 14:31,30,55
DHT11,2022/07/09 14:41,31,56
DHT11,2022/07/09 14:51,31,56
DHT11,2022/07/09 15:02,31,56
DHT11,2022/07/09 15:12,31,56
DHT11,2022/07/09 15:22,31,56
DHT11,2022/07/09 15:32,31,56
DHT11,2022/07/09 15:42,31,57
DHT11,2022/07/09 15:52,31,59
DHT11,2022/07/09 16:02,31,58
DHT11,2022/07/09 16:12,31,59
DHT11,2022/07/09 16:22,30,58
DHT11,2022/07/09 16:32,30,58
DHT11,2022/07/09 16:42,30,58
DHT11,2022/07/09 16:52,30,58
DHT11,2022/07/09 17:02,30,58
DHT11,2022/07/09 17:12,31,59
DHT11,2022/07/09 17:22,31,58
DHT11,2022/07/09 17:32,31,58
DHT11,2022/07/09 17:42,31,58
DHT11,2022/07/09 17:52,31,58
DHT11,2022/07/09 18:02,31,58
DHT11,2022/07/09 18:12,31,58
DHT11,2022/07/09 18:22,31,58
DHT11,2022/07/09 18:32,31,58
DHT11,2022/07/09 18:42,30,57
DHT11,2022/07/09 18:52,31,58
DHT11,2022/07/09 19:02,31,57
DHT11,2022/07/09 19:12,30,57
DHT11,2022/07/09 19:22,30,56
DHT11,2022/07/09 19:32,30,57
DHT11,2022/07/09 19:42,30,57
DHT11,2022/07/09 19:52,30,57
DHT11,2022/07/09 20:02,30,57
DHT11,2022/07/09 20:12,30,58
DHT11,2022/07/09 20:22,30,57
DHT11,2022/07/09 20:32,30,57
DHT11,2022/07/09 20:42,30,58
DHT11,2022/07/09 20:52,30,58
DHT11,2022/07/09 21:02,30,58
DHT11,2022/07/09 21:12,30,58
DHT11,2022/07/09 21:22,30,58
DHT11,2022/07/09 21:32,30,58
DHT11,2022/07/09 21:42,30,59
DHT11,2022/07/09 21:52,30,59
DHT11,2022/07/09 22:02,30,59
DHT11,2022/07/09 22:12,30,59
DHT11,2022/07/09 22:22,30,60
DHT11,2022/07/09 22:32,30,60
DHT11,2022/07/09 22:42,30,60
DHT11,2022/07/09 22:52,30,60
DHT11,2022/07/09 23:02,30,60
DHT11,2022/07/09 23:12,30,60
DHT11,2022/07/09 23:22,30,60
DHT11,2022/07/09 23:32,30,60
DHT11,2022/07/09 23:42,30,59
DHT11,2022/07/09 23:52,30,60
DHT11,2022/07/10 0:02,30,60
DHT11,2022/07/10 0:12,30,60
DHT11,2022/07/10 0:22,30,60
DHT11,2022/07/10 0:32,30,60
DHT11,2022/07/10 0:42,30,60
DHT11,2022/07/10 0:52,30,60
DHT11,2022/07/10 1:02,30,60
DHT11,2022/07/10 1:12,30,60
DHT11,2022/07/10 1:22,30,60
DHT11,2022/07/10 1:32,30,60
DHT11,2022/07/10 1:42,30,60
DHT11,2022/07/10 1:52,30,60
DHT11,2022/07/10 2:02,30,60
DHT11,2022/07/10 2:12,30,60
DHT11,2022/07/10 2:22,30,60
DHT11,2022/07/10 2:32,29,60
DHT11,2022/07/10 2:42,29,60
DHT11,2022/07/10 2:52,29,61
DHT11,2022/07/10 3:02,29,60
DHT11,2022/07/10 3:12,30,60
DHT11,2022/07/10 3:22,30,60
DHT11,2022/07/10 3:32,29,60
DHT11,2022/07/10 3:42,29,60
DHT11,2022/07/10 3:52,29,60
DHT11,2022/07/10 4:02,29,60
DHT11,2022/07/10 4:12,29,61
DHT11,2022/07/10 4:22,29,61
DHT11,2022/07/10 4:33,29,61
DHT11,2022/07/10 4:43,29,61
DHT11,2022/07/10 4:53,29,61
DHT11,2022/07/10 5:03,29,60
DHT11,2022/07/10 5:13,29,61
DHT11,2022/07/10 5:23,29,61
DHT11,2022/07/10 5:33,29,61
DHT11,2022/07/10 5:43,29,61
DHT11,2022/07/10 5:53,29,60
DHT11,2022/07/10 6:03,29,61
DHT11,2022/07/10 6:13,29,61
DHT11,2022/07/10 6:23,29,61
DHT11,2022/07/10 6:33,29,61
DHT11,2022/07/10 6:43,29,61
DHT11,2022/07/10 6:53,29,61
DHT11,2022/07/10 7:03,29,61
DHT11,2022/07/10 7:13,29,61
DHT11,2022/07/10 7:23,29,61
DHT11,2022/07/10 7:33,29,61
DHT11,2022/07/10 7:43,29,61
DHT11,2022/07/10 7:53,29,61
DHT11,2022/07/10 8:03,29,61
DHT11,2022/07/10 8:13,29,61
DHT11,2022/07/10 8:23,29,61
DHT11,2022/07/10 8:33,29,61
DHT11,2022/07/10 8:43,29,61
DHT11,2022/07/10 8:53,30,61
DHT11,2022/07/10 9:03,30,60
DHT11,2022/07/10 9:13,30,60
DHT11,2022/07/10 9:23,30,60
DHT11,2022/07/10 9:33,30,60
DHT11,2022/07/10 9:43,30,58
DHT11,2022/07/10 9:53,30,59
DHT11,2022/07/10 10:03,30,59
DHT11,2022/07/10 10:13,30,57
DHT11,2022/07/10 10:23,30,57
DHT11,2022/07/10 10:33,30,57
